Case_ID,Activity,Timestamp,Resource,Next_Timestamp,Activity_Duration_Hours
1,Order Created,2024-02-10 15:00:00,System,2024-02-12 03:00:00,36.0
1,Order Approved,2024-02-12 03:00:00,Finance Team,2024-02-13 08:00:00,29.0
1,Credit Check,2024-02-13 08:00:00,Finance Team,2024-02-13 22:00:00,14.0
1,Payment Processed,2024-02-13 22:00:00,Manager,2024-02-14 10:00:00,12.0
1,Order Packed,2024-02-14 10:00:00,Manager,2024-02-16 17:00:00,55.0
1,Order Shipped,2024-02-16 17:00:00,System,2024-02-16 21:00:00,4.0
1,Order Delivered,2024-02-16 21:00:00,System,,
2,Order Created,2024-01-15 06:00:00,Manager,2024-01-15 10:00:00,4.0
2,Order Approved,2024-01-15 10:00:00,Manager,2024-01-16 12:00:00,26.0
2,Credit Check,2024-01-16 12:00:00,Manager,2024-01-18 18:00:00,54.0
2,Payment Processed,2024-01-18 18:00:00,Finance Team,2024-01-21 04:00:00,58.0
2,Order Packed,2024-01-21 04:00:00,Manager,2024-01-22 16:00:00,36.0
2,Order Shipped,2024-01-22 16:00:00,System,2024-01-23 13:00:00,21.0
2,Order Delivered,2024-01-23 13:00:00,Logistics,,
3,Order Created,2024-01-23 12:00:00,Finance Team,2024-01-24 16:00:00,28.0
3,Order Approved,2024-01-24 16:00:00,Warehouse,2024-01-25 06:00:00,14.0
3,Credit Check,2024-01-25 06:00:00,System,2024-01-27 07:00:00,49.0
3,Payment Processed,2024-01-27 07:00:00,System,2024-01-29 05:00:00,46.0
3,Order Packed,2024-01-29 05:00:00,Warehouse,2024-01-30 15:00:00,34.0
3,Order Shipped,2024-01-30 15:00:00,System,2024-02-02 02:00:00,59.0
3,Order Delivered,2024-02-02 02:00:00,Manager,,
4,Order Created,2024-01-10 01:00:00,System,2024-01-13 00:00:00,71.0
4,Order Approved,2024-01-13 00:00:00,Warehouse,2024-01-14 23:00:00,47.0
4,Credit Check,2024-01-14 23:00:00,Manager,2024-01-16 00:00:00,25.0
4,Payment Processed,2024-01-16 00:00:00,System,2024-01-16 06:00:00,6.0
4,Order Packed,2024-01-16 06:00:00,Finance Team,2024-01-17 20:00:00,38.0
4,Order Shipped,2024-01-17 20:00:00,System,2024-01-19 02:00:00,30.0
4,Order Delivered,2024-01-19 02:00:00,System,,
5,Order Created,2024-01-26 12:00:00,Logistics,2024-01-28 11:00:00,47.0
5,Order Approved,2024-01-28 11:00:00,Finance Team,2024-01-30 11:00:00,48.0
5,Credit Check,2024-01-30 11:00:00,Warehouse,2024-01-31 14:00:00,27.0
5,Payment Processed,2024-01-31 14:00:00,Warehouse,2024-02-01 00:00:00,10.0
5,Order Packed,2024-02-01 00:00:00,Manager,2024-02-01 22:00:00,22.0
5,Order Shipped,2024-02-01 22:00:00,Manager,2024-02-03 06:00:00,32.0
5,Order Delivered,2024-02-03 06:00:00,Finance Team,,
6,Order Created,2024-02-01 01:00:00,Warehouse,2024-02-04 01:00:00,72.0
6,Order Approved,2024-02-04 01:00:00,Finance Team,2024-02-05 19:00:00,42.0
6,Credit Check,2024-02-05 19:00:00,System,2024-02-07 01:00:00,30.0
6,Payment Processed,2024-02-07 01:00:00,System,2024-02-08 18:00:00,41.0
6,Order Packed,2024-02-08 18:00:00,Logistics,2024-02-10 05:00:00,35.0
6,Order Shipped,2024-02-10 05:00:00,System,2024-02-11 09:00:00,28.0
6,Order Delivered,2024-02-11 09:00:00,Manager,,
7,Order Created,2024-02-27 17:00:00,Finance Team,2024-03-01 09:00:00,64.0
7,Order Approved,2024-03-01 09:00:00,Logistics,2024-03-03 20:00:00,59.0
7,Credit Check,2024-03-03 20:00:00,Finance Team,2024-03-05 06:00:00,34.0
7,Payment Processed,2024-03-05 06:00:00,Finance Team,2024-03-06 14:00:00,32.0
7,Order Packed,2024-03-06 14:00:00,Manager,2024-03-09 11:00:00,69.0
7,Order Shipped,2024-03-09 11:00:00,Warehouse,2024-03-11 18:00:00,55.0
7,Order Delivered,2024-03-11 18:00:00,Manager,,
8,Order Created,2024-01-27 23:00:00,Finance Team,2024-01-28 17:00:00,18.0
8,Order Approved,2024-01-28 17:00:00,Manager,2024-01-31 09:00:00,64.0
8,Credit Check,2024-01-31 09:00:00,System,2024-01-31 16:00:00,7.0
8,Payment Processed,2024-01-31 16:00:00,System,2024-02-01 12:00:00,20.0
8,Order Packed,2024-02-01 12:00:00,Finance Team,2024-02-03 19:00:00,55.0
8,Order Shipped,2024-02-03 19:00:00,Manager,2024-02-04 04:00:00,9.0
8,Order Delivered,2024-02-04 04:00:00,Logistics,,
9,Order Created,2024-01-27 12:00:00,Manager,2024-01-28 21:00:00,33.0
9,Order Approved,2024-01-28 21:00:00,Manager,2024-01-28 23:00:00,2.0
9,Credit Check,2024-01-28 23:00:00,System,2024-01-31 20:00:00,69.0
9,Payment Processed,2024-01-31 20:00:00,Warehouse,2024-02-02 16:00:00,44.0
9,Order Packed,2024-02-02 16:00:00,System,2024-02-04 06:00:00,38.0
9,Order Shipped,2024-02-04 06:00:00,Logistics,2024-02-05 03:00:00,21.0
9,Order Delivered,2024-02-05 03:00:00,Logistics,,
10,Order Created,2024-01-02 10:00:00,Manager,2024-01-03 09:00:00,23.0
10,Order Approved,2024-01-03 09:00:00,Manager,2024-01-03 23:00:00,14.0
10,Credit Check,2024-01-03 23:00:00,Warehouse,2024-01-06 16:00:00,65.0
10,Payment Processed,2024-01-06 16:00:00,Manager,2024-01-07 18:00:00,26.0
10,Order Packed,2024-01-07 18:00:00,Finance Team,2024-01-09 18:00:00,48.0
