Case_ID,Activity,Timestamp,Resource
1,Order Created,2024-02-10 15:00:00,System
1,Order Approved,2024-02-12 03:00:00,Finance Team
1,Credit Check,2024-02-13 08:00:00,Finance Team
1,Payment Processed,2024-02-13 22:00:00,Manager
1,Order Packed,2024-02-14 10:00:00,Manager
1,Order Shipped,2024-02-16 17:00:00,System
1,Order Delivered,2024-02-16 21:00:00,System
2,Order Created,2024-01-15 06:00:00,Manager
2,Order Approved,2024-01-15 10:00:00,Manager
2,Credit Check,2024-01-16 12:00:00,Manager
2,Payment Processed,2024-01-18 18:00:00,Finance Team
2,Order Packed,2024-01-21 04:00:00,Manager
2,Order Shipped,2024-01-22 16:00:00,System
2,Order Delivered,2024-01-23 13:00:00,Logistics
3,Order Created,2024-01-23 12:00:00,Finance Team
3,Order Approved,2024-01-24 16:00:00,Warehouse
3,Credit Check,2024-01-25 06:00:00,System
3,Payment Processed,2024-01-27 07:00:00,System
3,Order Packed,2024-01-29 05:00:00,Warehouse
3,Order Shipped,2024-01-30 15:00:00,System
3,Order Delivered,2024-02-02 02:00:00,Manager
4,Order Created,2024-01-10 01:00:00,System
4,Order Approved,2024-01-13 00:00:00,Warehouse
4,Credit Check,2024-01-14 23:00:00,Manager
4,Payment Processed,2024-01-16 00:00:00,System
4,Order Packed,2024-01-16 06:00:00,Finance Team
4,Order Shipped,2024-01-17 20:00:00,System
4,Order Delivered,2024-01-19 02:00:00,System
5,Order Created,2024-01-26 12:00:00,Logistics
5,Order Approved,2024-01-28 11:00:00,Finance Team
5,Credit Check,2024-01-30 11:00:00,Warehouse
5,Payment Processed,2024-01-31 14:00:00,Warehouse
5,Order Packed,2024-02-01 00:00:00,Manager
5,Order Shipped,2024-02-01 22:00:00,Manager
5,Order Delivered,2024-02-03 06:00:00,Finance Team
6,Order Created,2024-02-01 01:00:00,Warehouse
6,Order Approved,2024-02-04 01:00:00,Finance Team
6,Credit Check,2024-02-05 19:00:00,System
6,Payment Processed,2024-02-07 01:00:00,System
6,Order Packed,2024-02-08 18:00:00,Logistics
6,Order Shipped,2024-02-10 05:00:00,System
6,Order Delivered,2024-02-11 09:00:00,Manager
7,Order Created,2024-02-27 17:00:00,Finance Team
7,Order Approved,2024-03-01 09:00:00,Logistics
7,Credit Check,2024-03-03 20:00:00,Finance Team
7,Payment Processed,2024-03-05 06:00:00,Finance Team
7,Order Packed,2024-03-06 14:00:00,Manager
7,Order Shipped,2024-03-09 11:00:00,Warehouse
7,Order Delivered,2024-03-11 18:00:00,Manager
8,Order Created,2024-01-27 23:00:00,Finance Team
8,Order Approved,2024-01-28 17:00:00,Manager
8,Credit Check,2024-01-31 09:00:00,System
8,Payment Processed,2024-01-31 16:00:00,System
8,Order Packed,2024-02-01 12:00:00,Finance Team
8,Order Shipped,2024-02-03 19:00:00,Manager
8,Order Delivered,2024-02-04 04:00:00,Logistics
9,Order Created,2024-01-27 12:00:00,Manager
9,Order Approved,2024-01-28 21:00:00,Manager
9,Credit Check,2024-01-28 23:00:00,System
9,Payment Processed,2024-01-31 20:00:00,Warehouse
9,Order Packed,2024-02-02 16:00:00,System
9,Order Shipped,2024-02-04 06:00:00,Logistics
9,Order Delivered,2024-02-05 03:00:00,Logistics
